sampling_campaign;site;tBeg;tEnd;sample_name;operator;value;parameter;unit;comment;siteCode;variableCode;labSampleCode;tMid
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;108;F+Ph;cfu/100 mL;;KWB_WEID;FBp;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;49576;Adeno;cfu/100 mL;;KWB_WEID;Adv;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;590;Cond;µS/cm;;KWB_WEID;LF;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;<;20;Noro;cfu/100 mL;;KWB_WEID;Nov;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;>;3200000;Ecoli;MPN/100 mL;;KWB_WEID;EColi;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;20460;Entero;MPN/100 mL;;KWB_WEID;FaeStr;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;<;0.03;Ortho_P;mg/L;;KWB_WEID;PO4;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;2.01;P_TOTAL;mg/L;;KWB_WEID;P;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;<;0.05;NH4_N;mg/L;;KWB_WEID;NH4;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;<;0.5;NO3_N;mg/L;;KWB_WEID;NO3;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;55;AFS;mg/L;;KWB_WEID;TSS;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;16;BSB5;mg/L;;KWB_WEID;BSB;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;61;CSB;mg/L;;KWB_WEID;CSB;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;<;1;chloro;µg/L;;KWB_WEID;ChA;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.582;ACS;µg/L;;KWB_WEID;ACS;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.074;ATS;µg/L;;KWB_WEID;ATS;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.233;IOM;µg/L;;KWB_WEID;IOM;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.248;IOP;µg/L;;KWB_WEID;IOP;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.393;GAB;µg/L;;KWB_WEID;GAB;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.93;BTA;µg/L;;KWB_WEID;BTA;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.012;SMX;µg/L;;KWB_WEID;SMX;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.026;PRI;µg/L;;KWB_WEID;PRI;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.089;MTP;µg/L;;KWB_WEID;MTP;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.344;MBT;µg/L;;KWB_WEID;MBT;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.491;OLM;µg/L;;KWB_WEID;OLM;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.091;CBZ;µg/L;;KWB_WEID;CBZ;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.571;VSA;µg/L;;KWB_WEID;VSA;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.947;CAN;µg/L;;KWB_WEID;CAN;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.651;VAL;µg/L;;KWB_WEID;VAL;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;40.4;Cl;mg/L;;KWB_WEID;Cl;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;0.53;NO3_N_filtered;mg/L;;KWB_WEID;NO3N;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;153;SO4;mg/L;;KWB_WEID;SO4;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;10300;SomPh;cfu/100 mL;;KWB_WEID;SoCp;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;80;F+Ph;cfu/100 mL;;KWB_WEID;FBp;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;80370;Adeno;cfu/100 mL;;KWB_WEID;Adv;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;;616;Cond;µS/cm;;KWB_WEID;LF;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 17:45:00;2016-07-13 18:25:00;Weid_4;<;20;Noro;cfu/100 mL;;KWB_WEID;Nov;O2016-16336;2016-07-13 18:05:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;>;3200000;Ecoli;MPN/100 mL;;KWB_WEID;EColi;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;20198;Entero;MPN/100 mL;;KWB_WEID;FaeStr;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;<;0.03;Ortho_P;mg/L;;KWB_WEID;PO4;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;1.88;P_TOTAL;mg/L;;KWB_WEID;P;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;<;0.05;NH4_N;mg/L;;KWB_WEID;NH4;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;<;0.5;NO3_N;mg/L;;KWB_WEID;NO3;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;46;AFS;mg/L;;KWB_WEID;TSS;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;17;BSB5;mg/L;;KWB_WEID;BSB;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;67;CSB;mg/L;;KWB_WEID;CSB;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;5.82;chloro;µg/L;;KWB_WEID;ChA;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;0.568;ACS;µg/L;;KWB_WEID;ACS;O2016-16337;2016-07-13 18:45:00
1;Weidendammer Brücke;2016-07-13 18:25:00;2016-07-13 19:05:00;Weid_5;;0.06;ATS;µg/L;;KWB_WEID;ATS;O2016-16337;2016-07-13 18:45:00
